qid,brand,token,trends_level_adidas100,pv_median,search_mom,suspect_inflated,trends_level_basket1000
Q3317844,Modell's,/m/0dj6sn,0.0,3414,+30%,,
Q85761879,Frame,Frame,59.11,1271,+250%,1,
Q696376,Versace,/m/05hnq8k,9.08,44262,+3%,,207.54
Q2076935,Munich,/m/0175rc,55.72,1622,+10%,1,
Q20716793,Pink,/m/01fklc,133.12,3251,+30%,1,
Q5515554,Gabe's,Gabe's,0.0,1623,+3%,,
Q26070,Uniqlo,/g/1yw79g90r,27.61,82137,-4%,,631.09
Q491627,Hugo Boss,/m/025rywz,7.84,60108,-6%,,179.2
Q11072650,Swear,/g/11rqxqqrmq,0.0,181,>5000 (breakout),,
Q4941440,Bonds,/m/0cgkbv,0.526,1246,-20%,,12.02
Q483915,Nike,/m/0lwkh,134.33,118161,0%,,3070.43
Q4983306,Buckle,Buckle,6.04,1337,+1%,1,
Q1075391,Chloé,/g/11_zp24k5,3.73,11012,-6%,,85.26
Q110778161,SKIMS,/g/11k0mnxt1s,3.8,13207,-7%,,86.86
Q552230,Miu Miu,Miu Miu,6.85,21630,-4%,,156.57
Q178516,Gucci,/m/0h31vgv,21.08,84508,-8%,,481.83
Q3111039,MCS,MCS,1.4,2061,-10%,,32.0
Q42332202,Bombas,Bombas,3.08,4172,+2%,,70.4
Q1719431,Schmid,,1.273,372,,,29.1
Q706421,New Yorker,/m/0g58v18,3.64,7714,-3%,,83.2
Q147662,Zara,/m/0w0nhw0,59.7,58959,-7%,,1364.58
Q1578717,Rochas,/m/02pzxz6,0.0,1419,-30%,,
Q649646,Valentino,/m/0fq3vnm,7.07,12847,+7%,,161.6
Q19841609,Lids,/m/026xr08,1.28,1786,-6%,,29.26
Q701338,C&A,/m/01_fdx,7.02,20049,-1%,,160.46
Q1837290,Mexx,Mexx,0.0,1780,+100%,,
Q211951,ASOS,/m/03gvmw7,9.49,4019,-2%,,216.92
Q1068628,Calvin Klein,/m/0_vn4bf,12.43,28300,-3%,,284.12
Q188326,H&M,/g/11b73tb7x5,44.38,65909,-10%,,1014.41
Q7310479,Reiss,Reiss,1.7,2252,-20%,,38.86
Q24908552,100 Thieves,/g/11byzccgfp,0.21,11933,-30%,,4.8
Q5175717,Cotton On,Cotton On,6.58,0,+60%,1,
Q691029,Pull&Bear,/m/07b47p,3.14,10426,-5%,,71.77
Q109906064,Sleeper,,,386,+300%,1,
Q648458,Birkenstock,/m/06ff7d,3.54,23883,-30%,,80.92
Q332477,Victoria’s Secret,/m/02pvjn,17.7,52307,+3%,,404.58
Q7747373,The Limited,/m/012wlyfr,36.14,2706,+40%,1,
Q735873,Kappa,Kappa,4.78,17090,-10%,,109.26
Q107481263,Bode,,1.297,753,-20%,,29.65
Q20714032,Seraphine,Seraphine,0.0,770,+60%,,
Q1030922,Camper,Camper,16.7,3472,+20%,1,
Q265056,s.Oliver,/m/0cp1m_d,1.24,4518,-9%,,28.34
Q2072372,streetwear,/g/11q9fssgnh,0.0,7465,-7%,,
Q309031,Lacoste,/g/1ymz_r8xh,10.96,32838,+4%,,250.52
Q107377209,Shein,/g/11g21kpwrc,48.12,62387,-2%,,1099.9
Q1136426,Hackett,/m/0bh8_3h,0.0,2323,-30%,,
Q20987378,Barefoot,,,128,+10%,,
Q420953,Air Jordan,/m/054c1,5.66,43299,+2%,,129.37
Q22101752,Adidas Yeezy,/g/11bwywl9py,3.41,9764,+10%,,77.94
Q843887,Hermès,/m/0_rbk5p,21.44,63374,+10%,,490.06
Q174310,Nordstrom,Nordstrom,10.98,17033,-10%,,250.97
Q752515,Bulgari,/m/0bb262b,4.71,23927,+10%,,107.66
Q390107,Burberry,/g/1yw7h9ktq,9.98,24730,+2%,,228.12
Q319344,Abercrombie & Fitch,/m/02z2m_,6.02,27679,+20%,,137.6
Q958209,Springfield,/g/121v7vpj,0.0,2059,-30%,,
Q7740985,The Hundreds,,0.865,856,-30%,,19.77
Q927272,NKD,NKD,1.24,3472,-2%,,28.34
Q125206509,Patta,Patta,3.82,0,-20%,,87.32
Q214480,Dolce & Gabbana,/g/11bx9m5xfx,6.51,32739,-4%,,148.8
Q87193804,Scalpers,/g/11bxjjnb9f,0.0,1676,-9%,,
Q6793571,Maurices,/m/05mscfc,1.24,1330,+30%,,28.34
Q2031485,Under Armour,/g/1ymzslvpb,10.69,33695,+9%,,244.35
Q1445358,Wrangler,/m/047nbt,3.24,10960,+10%,,74.06
Q1280255,ECCO,/m/06g_1m,1.71,5083,-10%,,39.09
Q659863,Moschino,/m/0bdfm0,1.42,7511,+3%,,32.46
Q7197417,Piping Hot,Piping Hot,0.0,184,>5000 (breakout),,
Q28224724,Golden Goose,/g/11c520979w,3.03,7369,+10%,,69.26
Q53472173,Off-White,/g/11c54xppt5,5.13,12089,+1%,,117.26
Q759210,Givenchy,/m/0hgt7_w,3.85,18264,+1%,,88.0
Q132531889,Alé,/m/0m09,3.98,0,>5000 (breakout),1,
Q72982331,Francesca's,Francesca's,0.278,1247,-20%,,6.35
Q11788344,CCC,/g/1ygbchl2v,2.46,322,-20%,,56.23
Q926575,Fendi,/m/063y0r6,3.7,23572,-1%,,84.57
Q806085,Banana Republic,/m/0ndmqf4,0.0,11331,-1%,,
Q2282172,Yves Saint Laurent,/m/03ccxvf,18.28,25314,+1%,,417.83
Q127962,Levi Strauss & Co.,/m/02j46m,16.89,41578,+3%,,386.06
Q7679064,Talbots,/m/0c5zgx,1.24,2572,-5%,,28.34
Q3146711,IKKS,/g/1218lp88,0.0,1291,-50%,,
Q938773,DKNY,/m/011dggwx,1.33,7900,-3%,,30.4
Q3943471,Scarpa,Scarpa,1.7,2779,+1%,,38.86
Q11297188,Kapital,Kapital,1.38,303,-2%,,31.54
Q1684445,Superdry,/g/11byc_hvqg,1.58,17995,-2%,,36.11
Q2832297,ALDO,ALDO,6.07,5274,-4%,,138.74
Q827258,Bershka,/m/0h5f3x,11.45,16431,+1%,,261.72
Q1060537,Forever 21,/m/0svnzp6,1.14,12915,-10%,,26.06
Q844805,Dillard's,Dillard's,0.0,10183,+7%,,
Q105476592,Tom Ford,/m/017gy6,0.507,7929,-1%,,11.59
Q1130409,Vertu,/m/08f7wf,1.17,12930,+8%,,26.74
Q2735242,Old Navy,/m/0263lp,10.24,9397,+9%,,234.06
Q115804691,Volcano,,,216,0%,1,
Q5618229,Gump's,Gump's,0.0,1200,>5000 (breakout),,
Q1341990,Strauss,Strauss,3.91,10895,-6%,,89.37
Q119149859,Kapital,Kapital,1.38,1303,-2%,,31.54
Q5437186,Fat Face,/m/09fpzd,0.0,1749,+20%,,
Q42306166,Snipes,/g/11gcbs1xf8,2.07,2251,-3%,,47.31
Q894874,Bottega Veneta,/m/04bnxg,3.87,16653,-3%,,88.46
Q1548951,Moncler,/m/02pyfhb,4.64,20143,+20%,,106.06
Q4936481,Boden,Boden,5.27,2158,+7%,1,
Q539507,Icebreaker,Icebreaker,1.25,1675,-10%,,28.57
Q3160437,Jaeger,Jaeger,1.26,2320,+2%,,28.8
Q883965,KiK,KiK,4.2,5237,+20%,,96.0
Q13882231,Alexander McQueen,/g/1jkx4qt4k,1.33,6821,0%,,30.4
Q25351738,Joules,/g/11b86c1vzv,0.0,1225,-2%,,
Q966905,Loewe,/g/11byp687x5,4.01,24676,0%,,91.66
Q1126126,Dr. Martens,/m/01lsm6,2.52,26311,+5%,,57.6
Q1726925,Maison Margiela,/g/1jlb4y05y,3.57,23692,+9%,,81.6
Q5499945,Free People,Free People,9.38,2905,-20%,1,
Q1355904,Zegna,/m/05217d,0.346,11007,-3%,,7.91
Q3650853,Marni,/m/0105z9k1,1.21,2722,-20%,,27.66
Q658961,Piaget,/m/04g92x,0.0,5378,-10%,,
Q25351619,Aerie,/m/012z6pg4,1.67,2511,+20%,,38.17
Q108582148,Good American,Good American,3.1,1657,+130%,,70.86
Q4112833,Caleres,/m/04jhml,0.0,2548,-9%,,
Q1686544,Loro Piana,/g/11c564hx53,0.0,22662,+50%,,
Q788231,Massimo Dutti,/m/0284p1n,2.96,15683,+30%,,67.66
Q1151774,Max Mara,/g/11vm73rvd,1.68,8062,+20%,,38.4
Q18712957,Farfetch,/m/012hpgww,2.43,7906,+20%,,55.54
Q16908664,Hoka,/m/0_qhc0d,0.83,14404,-50%,,18.97
Q9171569,Big Star,Big Star,1.94,285,-3%,,44.34
Q2842931,American Eagle Outfitters,/m/034zyt,7.28,19868,+3%,,166.4
Q3866987,Mulberry,Mulberry,3.26,1319,-9%,,74.52
Q6063877,Koton,/g/11r7prv1n,1.23,836,-7%,,28.11
Q1422481,Fjällräven,Fjällräven,0.742,8443,+130%,,16.96
Q11815580,Pepco,/m/0250hn,0.402,5337,+10%,,9.19
Q950042,Stone Island,Stone Island,2.54,19839,-20%,,58.06
Q15263093,IRFE,/m/0zg8gwd,0.0,493,>5000 (breakout),,
Q6981479,Nautica,/m/04tmnn,1.7,6809,0%,,38.86
Q3128675,Havaianas,/g/1tm8lqf8,0.0,4588,-20%,,
Q63335,Foot Locker,/m/08fhy9,8.28,10131,+10%,,189.26
Q29109956,Vetements,/g/11c6tx4ln_,0.0,4866,+10%,,
Q3497483,Emporio Armani,Emporio Armani,1.31,554,+2%,,29.94
Q1568588,Juicy Couture,Juicy Couture,1.4,6074,+30%,,32.0
Q593680,Borsalino,Borsalino,0.0,5134,>5000 (breakout),,
Q934096,Red Wing Shoes,/m/0603n6,1.04,4492,-20%,,23.77
Q25351941,The Row,/g/113kgn5bq,0.61,12177,0%,,13.94
Q47155680,Kari,/m/012h24,116.71,0,-80%,1,
Q1400977,Missoni,/m/0z4417c,0.0,5708,-30%,,
Q3410623,Puig,/m/0k0trc6,0.0,12200,-4%,,
Q4766699,Ann Taylor,/m/0fgwy4,1.24,2003,0%,,28.34
Q83750,Desigual,/g/1ym_0s0cw,1.24,6271,+50%,,28.34
Q866899,Lanvin,/m/0105j09n,1.24,5938,+3%,,28.34
Q1371677,Etro,/m/03nxmwd,0.0,3277,+2%,,
Q2422884,American Vintage,American Vintage,1.69,686,-4%,,38.63
Q3197595,Kiton,/m/06b74y,0.0,3499,-60%,,
Q7131643,Pantaloons,/g/11bc624wm6,0.0,7216,-10%,,
Q6192383,Jigsaw,/m/010x6cx9,1.32,1192,-20%,,30.17
Q4115012,Giordano,/m/09m5gc,0.0,6251,+3%,,
Q3835099,Liu·Jo,/m/0gtvznm,1.24,3223,+40%,,28.34
Q1629990,CoverGirl,CoverGirl,0.66,2794,-3%,,15.09
Q1115170,Comme des Garçons,/g/1ym_bn64x,1.26,20887,+4%,,28.8
Q136502973,Volt,/m/064d8rl,1.62,0,+250%,,37.03
Q2707765,Viktor & Rolf,/g/11p687spyh,0.0,3627,-4%,,
Q5324709,EXR,,,93,+180%,,
Q3322945,Stradivarius,/m/03d4q1j,4.97,4228,-2%,,113.6
Q3946053,Salvatore Ferragamo,/m/03cfdwc,2.03,7822,-3%,,46.4
Q96791543,Yeezy,/g/11dxd2ct_b,0.547,137,-8%,,12.5
Q1002252,Bugatti,/m/01frm,3.54,1841,,,80.92
Q10461856,Crocker,Crocker,1.43,0,,,32.69
Q305404,Intimissimi,/g/11f15jsgy1,0.0,4038,-10%,,
Q4791147,Aritzia,/m/02vs4g2,5.97,8837,+9%,,136.46
Q1200698,Le Bon Marché,/g/12jsyd53s,0.0,9939,-20%,,
Q6702957,Lululemon Athletica,/m/0bcwlr,4.02,54505,-10%,,91.89
Q2456205,True Religion,/m/0dlllw,0.0,5215,+20%,,
Q5113774,Chrome Hearts,/g/11dxpyrxf4,0.0,37054,+9%,,
Q821969,Berluti,Berluti,0.0,3936,-10%,,
Q431607,Wolford,/m/08rfrp,0.0,1227,-10%,,
Q1902277,Marmot,Marmot,1.24,2916,-6%,,28.34
Q743497,Neiman Marcus,/g/1tpps5n7,0.0,11164,-6%,,
Q4828498,Avia,Avia,1.68,3970,+3%,,38.4
Q604667,Emilio Pucci,/m/04gj4b,0.0,8659,-20%,,
Q7827120,Torrid,Torrid,1.37,1473,-20%,,31.31
Q1027874,Oniverse,/g/120yr454,1.77,5555,-30%,,40.46
Q1360940,Orbea,/m/080jbw,0.145,4848,-20%,,3.31
Q5370765,J.Crew,/g/11bypkrpcn,3.52,6972,+7%,,80.46
Q4773903,Anthropologie,Anthropologie,4.34,4030,+200%,,99.2
Q28042940,Orchestra,/g/11c5_6x9_j,1.24,544,+30%,,28.34
Q7432952,Schuh,,2.282,1003,+20%,,52.16
Q4038967,Fred Perry,Fred Perry,1.23,7916,+2%,,28.11
Q8041451,X-Large,/m/0cg1tx,0.198,1030,-7%,,4.53
Q794565,Aéropostale,,0.865,686,-60%,,19.77
Q1660552,"Patagonia, Inc.",/m/0g152j,2.37,33207,+1%,,54.17
Q3192653,Kangol,Kangol,0.0,6802,+110%,,
Q6166759,Jay Jays,/g/1tdvdr5s,0.0,1525,-10%,,
Q125230974,James Perse,James Per,1.17,487,-20%,,26.74
Q147505,Zappos,/m/02dfb9,1.26,9082,+60%,,28.8
Q1066858,Tiffany & Co.,Tiffany &,1.15,29157,+20%,,26.29
Q43452713,On AG,/g/11dxprv1lg,3.01,49532,+8%,,68.8
Q5206207,Designer Brands,/g/11bwd8wfq5,2.84,2130,+9%,,64.91
Q2956351,Chantelle,Chantelle,0.56,942,+50%,,12.8
Q48770898,Buck Mason,/g/11hbc4gznv,0.0,2484,+10%,,
Q55748823,garment factory,,0.0,0,,,
Q5506939,Fuchsia,,2.305,53,,,52.69
Q1439858,Nina Ricci,/m/0105_wgd,0.365,3440,-6%,,8.34
Q1257477,Hollister Co.,/m/02zkdm,3.54,12261,-70%,,80.92
Q4902942,Biba,Biba,1.21,4921,>5000 (breakout),,27.66
Q3205965,LC Waikiki,/g/122dsj3z,3.17,7074,-20%,,72.46
Q18385610,Stitch Fix,/m/010ql3n8,0.495,2494,0%,,11.31
Q2670328,River Island,/m/04h0mt,2.45,3000,-10%,,56.0
Q28401216,Sunski,/m/08t_4_,1.09,149,-10%,,24.91
Q25387414,Brandy Melville,/g/11btmcj6n4,0.0,18448,+650%,,
Q6915425,Moscot,Moscot,0.0,1725,-30%,,
Q817139,Benetton Group,/m/03p1lxx,1.68,23293,0%,,38.4
Q482539,"Fila, Inc.",/m/09bsy1,2.47,26100,+1%,,56.46
Q104890420,Just Over the Top,/g/11ls35gkd1,0.0,1302,-70%,,
Q2551058,DSQUARED2,/g/11vp4ql7c,0.535,1727,-10%,,12.23
Q948531,Celine,/m/0463vt1,4.27,13024,-5%,,97.6
Q47545942,Quooker,/g/11gfjc0fp0,0.56,1148,0%,,12.8
Q11993725,Oleana,Oleana,0.0,108,0%,,
Q6131944,L.L.Bean,L.L.Bean,0.541,10982,0%,,12.37
Q6316068,Just Jeans,,0.417,0,-10%,,9.53
Q688082,Bata Limited,/m/01n7rt,1.55,29866,+5%,,35.43
Q3327046,OYSHO,/g/11xww9t07,0.0,5820,+60%,,
Q1361595,Erreà,/m/0kqk4h,0.0,4772,+60%,,
Q634881,Tommy Hilfiger B.V.,/m/0b6p4fq,3.92,13649,-3%,,89.6
Q1641437,Ralph Lauren Corporation,/m/04lg33,19.19,28108,+40%,,438.63
Q546542,A.P.C.,/m/0bb27r6,1.24,2873,-20%,,28.34
Q3196299,Kiabi,/g/1tj49sm5,0.0,5959,+5%,,
Q4850707,Baleno,/g/11cl_58h48,2.54,1329,+90%,,58.06
Q1422386,K-Swiss,K-Swiss,0.0,4333,-3%,,
Q137023,Primark,/m/06cm4q,13.88,38519,+9%,,317.26
Q138543842,Matières Fécales,Matières Fécales,0.0,2177,0%,,
Q420765,Akris,/m/04zzzt9,0.0,1256,+40%,,
Q3073195,Furla,/m/0tkhp7n,0.0,3323,-60%,,
Q55205917,Best Company,,,465,>5000 (breakout),1,
Q11236730,Niko and...,/g/11b6s66b8q,0.0,1508,+20%,,
Q6756978,Marchesa,/m/03qk90s,0.0,2848,0%,,
Q3645820,Bruno Magli,/m/07hs0h,0.0,1570,+700%,,
Q5000795,Burton,/m/0781kl,0.535,2433,0%,,12.23
Q3212802,La Senza,/m/02z23wh,0.0,3868,-20%,,
Q3476844,Sebago,/g/11vkz0yjw3,1.0,1652,-100%,,22.86
Q2470307,Guess,/m/03p3kvm,9.68,14552,0%,,221.26
Q532310,Hummel International,/m/0ff3jk,1.22,11372,+10%,,27.89
Q12061509,Matalan,/m/06hp5h,2.66,2369,-9%,,60.8
Q8075252,Zumiez,/m/0fb_w1,1.24,2401,+4%,,28.34
Q184399,Zeeman,Zeeman,1.28,1537,+3%,,29.26
Q571206,Tom Tailor,/m/0d3_wm,0.0,3750,-2%,,
Q6523209,LensCrafters,/m/02m87m,1.26,2450,-3%,,28.8
Q136503,Mango,/m/02r7cz2,19.43,14686,-10%,,444.12
Q21410966,Everlane,Everlane,0.73,2141,-4%,,16.69
Q1786717,Lindex,/m/0262jz,0.529,1091,-10%,,12.09
Q21463374,Nordstrom Rack,Nordstrom Rack,4.06,3365,+6%,,92.8
Q2003244,Thor Steinar,/g/11bykzpm0s,0.0,12905,+20%,,
Q1427623,Haglöfs,/m/0c2y57,0.0,2202,+20%,,
Q1156731,Mizuno Corporation,/m/060wbl,6.23,18837,0%,,142.4
Q457822,Fielmann,/m/05b1pp0,1.89,3395,+10%,,43.2
Q7121857,PacSun,/m/057rj3,0.618,3831,+100%,,14.13
Q2820820,K-way,K-way,0.0,5297,-60%,,
Q7282768,Rag & Bone,Rag & Bone,0.247,2564,+4%,,5.65
Q1373540,Frederick's of Hollywood,/m/03qtfy,0.0,2216,+9%,,
Q241295,Miss Sixty,Miss Sixty,0.0,1330,+4%,,
Q1784995,Alfred Dunhill,/m/0dck4b,0.479,4536,+10%,,10.95
Q1659229,Supreme,Supreme,41.69,23898,+100%,,952.92
Q158285,Diesel,/m/0vmzfqz,5.23,14598,-2%,,119.54
Q849724,Q849724,/m/06b6k7,0.0,5786,-6%,,
Q2979949,Club Monaco,Club Mona,0.0,3554,+40%,,
Q2782017,Napapijri,/m/0125_39h,0.0,9148,>5000 (breakout),,
Q131445771,Rapha,Rapha,1.14,1865,+100%,,26.06
Q911217,Breuninger,/m/03cgr86,1.26,3645,-7%,,28.8
Q5213855,Jimmy Choo Ltd,/m/0czj0s,0.281,6672,-60%,,6.42
Q172227,Playlife,/m/04j9dj,0.0,1400,>5000 (breakout),,
Q5512676,G2000,/m/03wmyk,0.0,1373,0%,,
Q5915543,House of Worth,/m/049xdk,0.0,2353,>5000 (breakout),,
Q25110413,BALR.,BALR.,0.0,1746,-7%,,
Q3274777,Evisu,/m/060ntk,0.0,4233,-4%,,
Q142691,Montblanc International GmbH,/m/04y72l,1.12,18321,+30%,,25.6
Q1439645,Macron,/m/06zkyq0,0.0,11694,-4%,,
Q3401000,Nalini,,0.0,0,>5000 (breakout),,
Q7932495,Vineyard Vines,/m/0g0lmv,0.424,3990,+30%,,9.69
Q115310947,Terminal X,Terminal X,0.6,0,+10%,,13.71
Q5349364,Eileen Fisher,/g/11fll4ww7k,0.0,1340,+400%,,
Q924963,Charles Tyrwhitt,/g/11c3mr6qdx,0.0,6497,-20%,,
Q881017,Bogner,Bogner,0.51,2051,+2%,,11.66
Q16992933,Fabletics,Fabletics,1.54,6584,+40%,,35.2
Q5166857,Coogi,Coogi,0.0,1864,+4%,,
Q3905226,PINKO,/g/121v7x87,0.294,1317,-7%,,6.72
Q3357081,Dressmann,/g/1hc223r6c,0.0,540,-5%,,
Q7193265,Rocawear,Rocawear,0.0,5221,-3%,,
Q1539185,The Timberland Company,/m/05kv16,3.88,13076,+10%,,88.69
Q1028975,Jacques Fath,/m/027c1qr,0.0,2104,>5000 (breakout),,
Q6077665,Jack & Jones,Jack & Jones,0.461,4949,-7%,,10.54
Q7156755,Payless ShoeSource,/m/06sm6h,0.461,4978,+9%,,10.54
Q3073822,Superga,Superga,0.424,3108,-20%,,9.69
Q2749082,Lord & Taylor,/m/044jl0,0.0,5467,-20%,,
Q5203233,D-A-S-H,D-A-S-H,0.0,3049,,,
Q1056200,Cerruti 1881,/m/08x63q,0.0,6095,+50%,,
Q2719846,Billionaire Boys Club,/m/0d3q6v,0.0,3905,+60%,,
Q16648226,Women'secret,/g/12lqjr7mq,0.489,698,-30%,,11.18
Q123700068,Alo Yoga,/g/11swzt6xsl,7.07,20564,+30%,,161.6
Q43080895,sacai,/g/113pd2lmc,0.0,1230,-3%,,
Q664543,Deichmann SE,/m/0f05nx,3.99,5851,+10%,,91.2
Q130705749,Assem,,0.164,0,+20%,,3.75
Q1130841,Proenza Schouler,/m/02858gq,0.0,1673,-9%,,
Q3047175,Ed Hardy,Ed Hardy,1.26,2075,-1%,,28.8
Q23893788,Ivy Park,/g/11dym1gg9s,0.0,2061,-20%,,
Q29015034,JW Anderson,/g/11g6t09w2j,0.458,13398,-10%,,10.47
Q136311,Sunglass Hut,/m/02m8hn,1.24,2219,-20%,,28.34
Q378698,Jaeger-LeCoultre,/m/01szcp,0.439,14021,+10%,,10.03
Q2290173,Sirri,,0.065,0,>5000 (breakout),,1.49
Q182399,J. Barbour and Sons,/m/09q3xp,0.247,9685,+6%,,5.65
Q6106802,J. Press,/m/07vvlf,0.0,2341,+50%,,
Q104842926,Ganni,Ganni,1.24,2242,>5000 (breakout),,28.34
Q7576421,Sperry Top-Sider,/g/11vkz0yjw3,1.0,1798,-20%,,22.86
Q278948,Aquascutum,/m/0279_0d,0.0,5167,+600%,,
Q463378,American Apparel Inc.,/m/06kkcq,0.0,12165,-10%,,
Q631894,HEAD,HEAD,141.79,10224,-30%,,
Q600986,Escada SE,/m/0973h4,0.0,4170,+20%,,
Q2436187,Nudie Jeans,/m/0c4g05,0.0,1264,+5%,,
Q1132272,PVH Corp.,/m/07h9qx,0.0,9014,-10%,,
Q4139985,Gloria Jeans,/g/122mfbg8,0.0,1205,+60%,,
Q121878733,Vuori,Vuori,1.89,8828,+10%,,43.2
Q107394070,Number (N)ine,Number (N)ine,0.0,670,0%,,
Q4176650,Tiger of Sweden,/g/1hm3k_vsg,0.0,989,+80%,,
Q1136537,Costume National,/m/0407r1d,0.0,1221,+50%,,
Q945463,Bonia,/m/0czf76t,0.0,1036,+20%,,
Q3439593,Cubus,,,0,+8%,1,
Q6925414,Mountain Warehouse,/g/11lj1028v9,0.0,3123,0%,,
Q3574548,Zadig & Voltaire,/m/064d8rl,1.62,2619,+5%,,37.03
Q2855977,Slazenger,/m/079mz2,0.0,9388,-30%,,
Q18577819,Blanc & Eclare,/m/012bj88b,0.0,1549,+850%,,
Q4167754,Herve Leger,Herve Leger,0.0,1202,+500%,,
Q3012602,Damart,/g/1tx8sj2v,0.0,1363,-5%,,
Q429204,C.P. Company,/g/11cmrxxm9x,0.0,5761,+200%,,
Q7553581,Soffe,,0.053,390,>5000 (breakout),,1.21
Q1654538,Replay,/g/11l65t4k2_,0.0,1326,-3%,,
Q4728473,AllSaints,/m/05p427g,0.498,5463,+20%,,11.38
Q3305660,Tailored Brands,/m/08jq12,0.89,47,+400%,,20.34
Q3558391,Vilebrequin,Vilebrequin,0.0,1542,-20%,,
Q3974532,Storm Management,/m/0cc5jj,0.0,1580,+1250%,,
Q104846139,Savage X Fenty,/g/11fklpcd7x,0.0,4247,-50%,,
Q1385309,Balmain,/m/03c4zdb,1.24,10403,-5%,,28.34
Q588001,Geox,/m/0d1h01,1.4,6539,-1%,,32.0
Q1783759,Kookai,/g/1tgs03vn,0.0,2015,+10%,,
Q125660181,Kaporal,,0.034,904,0%,,0.78
Q4682711,Adidas Originals,/m/027ztyj,9.86,3245,-1%,1,225.37
Q25047966,Golf Wang,/g/11bzrgv90x,0.0,5543,-8%,,
Q11293025,OWNDAYS,/g/121bwbrl,0.47,2452,-7%,,10.74
Q22910099,OBEY Clothing,/g/11bvsr2071,0.0,4252,+1%,,
Q125784200,Corteiz,Corteiz,0.93,6759,-9%,,21.26
Q1089081,Fiorucci,/g/1230zyq0,0.0,2937,-20%,,
Q1893576,Topshop,/g/1201dvcv5,0.535,4582,-10%,,12.23
Q1137991,Thomas Pink,/m/055_t5,0.0,1178,-40%,,
Q4781133,Apple Bottoms,Apple Bottoms,0.167,2849,+10%,,3.82
Q7629175,"Stüssy, Inc.",/m/0dlnf8,2.38,19749,+10%,,54.4
Q7642242,Super Champion,,,81,0%,,
Q2096177,Globe International,Globe,13.86,1108,+20%,1,
Q2988422,Canada Goose Inc.,/m/0cjz6h,0.204,2808,+180%,,4.66
Q23672312,Herschel Supply Co.,/g/11cr_yjpsj,0.0,2434,-10%,,
Q1634723,Elan,/m/04dkyl,6.92,1403,0%,1,
Q116783961,Palm Angels,Palm Angels,0.523,2242,-4%,,11.95
Q65042966,R. M. Williams,/g/11h3qrq5_y,0.0,2936,-20%,,
Q651470,etnies,/m/0_tthwr,0.0,2086,+6%,,
Q50428076,Rebecca Minkoff,/g/1q5876wfz,0.0,2433,+7%,,
Q6697865,Lucky Brand Jeans,/m/0bp7t7,0.0,2730,+40%,,
Q3641225,Blufin,/m/0b1r2n,0.0,1157,>5000 (breakout),,
Q4035334,Bossini,/m/0f39h4,0.0,1770,+40%,,
Q6187356,Jessica McClintock,Jessica McClintock,0.0,1399,,,
Q3504397,Avirex,/m/0dq7g4,0.0,2307,-20%,,
Q6908680,Moosejaw,/m/03bxpv4,0.0,1383,+160%,,
Q28056374,Tezenis,,0.0,209,-40%,,
Q2903774,Gottex,,0.0,503,>5000 (breakout),,
Q1095857,C. & J. Clark International Ltd,/m/04d1sr,3.92,9161,+3%,,89.6
Q2234831,Schiesser,/m/0fpbfvh,0.0,1923,+100%,,
Q7937938,Vivobarefoot,/m/0b6k39n,0.59,2184,-10%,,13.49
