qid,brand,token,trends24m_adidas100,trends24m_basket1000
Q7131643,Pantaloons,/g/11bc624wm6,,
Q6192383,Jigsaw,/m/010x6cx9,,
Q4115012,Giordano,/m/09m5gc,,
Q3835099,Liu·Jo,/m/0gtvznm,,
Q1629990,CoverGirl,CoverGirl,,
Q1115170,Comme des Garçons,/g/1ym_bn64x,,
Q136502973,Volt,/m/064d8rl,,
Q2707765,Viktor & Rolf,/g/11p687spyh,,
Q5324709,EXR,,,
Q3322945,Stradivarius,/m/03d4q1j,,
Q3946053,Salvatore Ferragamo,/m/03cfdwc,,
Q96791543,Yeezy,/g/11dxd2ct_b,,
Q1002252,Bugatti,/m/01frm,,
Q10461856,Crocker,Crocker,,
Q305404,Intimissimi,/g/11f15jsgy1,,
Q4791147,Aritzia,/m/02vs4g2,,
Q1200698,Le Bon Marché,/g/12jsyd53s,,
Q6702957,Lululemon Athletica,/m/0bcwlr,,
Q2456205,True Religion,/m/0dlllw,,
Q5113774,Chrome Hearts,/g/11dxpyrxf4,,
Q821969,Berluti,Berluti,,
Q431607,Wolford,/m/08rfrp,,
Q1902277,Marmot,Marmot,,
Q743497,Neiman Marcus,/g/1tpps5n7,,
Q4828498,Avia,Avia,,
Q604667,Emilio Pucci,/m/04gj4b,,
Q7827120,Torrid,Torrid,,
Q1027874,Oniverse,/g/120yr454,,
Q1360940,Orbea,/m/080jbw,,
Q5370765,J.Crew,/g/11bypkrpcn,,
Q4773903,Anthropologie,Anthropologie,,
Q28042940,Orchestra,/g/11c5_6x9_j,,
Q7432952,Schuh,,,
Q4038967,Fred Perry,Fred Perry,,
Q8041451,X-Large,/m/0cg1tx,,
Q794565,Aéropostale,,,
Q1660552,"Patagonia, Inc.",/m/0g152j,,
Q3192653,Kangol,Kangol,,
Q6166759,Jay Jays,/g/1tdvdr5s,,
Q125230974,James Perse,James Per,,
Q147505,Zappos,/m/02dfb9,,
Q1066858,Tiffany & Co.,Tiffany &,,
Q43452713,On AG,/g/11dxprv1lg,,
Q5206207,Designer Brands,/g/11bwd8wfq5,,
Q2956351,Chantelle,Chantelle,,
Q48770898,Buck Mason,/g/11hbc4gznv,,
Q55748823,garment factory,,,
Q5506939,Fuchsia,,,
Q1439858,Nina Ricci,/m/0105_wgd,,
Q1257477,Hollister Co.,/m/02zkdm,,
Q4902942,Biba,Biba,,
Q3205965,LC Waikiki,/g/122dsj3z,,
Q18385610,Stitch Fix,/m/010ql3n8,,
Q2670328,River Island,/m/04h0mt,,
Q28401216,Sunski,/m/08t_4_,,
Q25387414,Brandy Melville,/g/11btmcj6n4,,
Q6915425,Moscot,Moscot,,
Q817139,Benetton Group,/m/03p1lxx,,
Q482539,"Fila, Inc.",/m/09bsy1,,
Q104890420,Just Over the Top,/g/11ls35gkd1,,
Q2551058,DSQUARED2,/g/11vp4ql7c,,
Q948531,Celine,/m/0463vt1,,
Q47545942,Quooker,/g/11gfjc0fp0,,
Q11993725,Oleana,Oleana,,
Q6131944,L.L.Bean,L.L.Bean,,
Q6316068,Just Jeans,,,
Q688082,Bata Limited,/m/01n7rt,,
Q3327046,OYSHO,/g/11xww9t07,,
Q1361595,Erreà,/m/0kqk4h,,
Q634881,Tommy Hilfiger B.V.,/m/0b6p4fq,,
Q1641437,Ralph Lauren Corporation,/m/04lg33,,
Q546542,A.P.C.,/m/0bb27r6,,
Q3196299,Kiabi,/g/1tj49sm5,,
Q4850707,Baleno,/g/11cl_58h48,,
Q1422386,K-Swiss,K-Swiss,,
Q137023,Primark,/m/06cm4q,,
Q138543842,Matières Fécales,Matières Fécales,,
Q420765,Akris,/m/04zzzt9,,
Q3073195,Furla,/m/0tkhp7n,,
Q55205917,Best Company,,,
Q11236730,Niko and...,/g/11b6s66b8q,,
Q6756978,Marchesa,/m/03qk90s,,
Q3645820,Bruno Magli,/m/07hs0h,,
Q5000795,Burton,/m/0781kl,,
Q3212802,La Senza,/m/02z23wh,,
Q3476844,Sebago,/g/11vkz0yjw3,,
Q2470307,Guess,/m/03p3kvm,,
Q532310,Hummel International,/m/0ff3jk,,
Q12061509,Matalan,/m/06hp5h,,
Q8075252,Zumiez,/m/0fb_w1,,
Q184399,Zeeman,Zeeman,,
Q571206,Tom Tailor,/m/0d3_wm,,
Q6523209,LensCrafters,/m/02m87m,,
Q136503,Mango,/m/02r7cz2,,
Q21410966,Everlane,Everlane,,
Q1786717,Lindex,/m/0262jz,,
Q21463374,Nordstrom Rack,Nordstrom Rack,,
Q2003244,Thor Steinar,/g/11bykzpm0s,,
Q1427623,Haglöfs,/m/0c2y57,,
Q1156731,Mizuno Corporation,/m/060wbl,,
Q457822,Fielmann,/m/05b1pp0,,
Q7121857,PacSun,/m/057rj3,,
Q2820820,K-way,K-way,,
Q7282768,Rag & Bone,Rag & Bone,,
Q1373540,Frederick's of Hollywood,/m/03qtfy,,
Q241295,Miss Sixty,Miss Sixty,,
Q1784995,Alfred Dunhill,/m/0dck4b,,
Q1659229,Supreme,Supreme,,
Q158285,Diesel,/m/0vmzfqz,,
Q849724,Q849724,/m/06b6k7,,
Q2979949,Club Monaco,Club Mona,,
Q2782017,Napapijri,/m/0125_39h,,
Q131445771,Rapha,Rapha,,
Q911217,Breuninger,/m/03cgr86,,
Q5213855,Jimmy Choo Ltd,/m/0czj0s,,
Q172227,Playlife,/m/04j9dj,,
Q5512676,G2000,/m/03wmyk,,
Q5915543,House of Worth,/m/049xdk,,
Q25110413,BALR.,BALR.,,
Q3274777,Evisu,/m/060ntk,,
Q142691,Montblanc International GmbH,/m/04y72l,,
Q1439645,Macron,/m/06zkyq0,,
Q3401000,Nalini,,,
Q7932495,Vineyard Vines,/m/0g0lmv,,
Q115310947,Terminal X,Terminal X,,
Q5349364,Eileen Fisher,/g/11fll4ww7k,,
Q924963,Charles Tyrwhitt,/g/11c3mr6qdx,,
Q881017,Bogner,Bogner,,
Q16992933,Fabletics,Fabletics,,
Q5166857,Coogi,Coogi,,
Q3905226,PINKO,/g/121v7x87,,
Q3357081,Dressmann,/g/1hc223r6c,,
Q7193265,Rocawear,Rocawear,,
Q1539185,The Timberland Company,/m/05kv16,,
Q1028975,Jacques Fath,/m/027c1qr,,
Q6077665,Jack & Jones,Jack & Jones,,
Q7156755,Payless ShoeSource,/m/06sm6h,,
Q3073822,Superga,Superga,,
Q2749082,Lord & Taylor,/m/044jl0,,
Q5203233,D-A-S-H,D-A-S-H,,
Q1056200,Cerruti 1881,/m/08x63q,,
Q2719846,Billionaire Boys Club,/m/0d3q6v,,
Q16648226,Women'secret,/g/12lqjr7mq,,
Q123700068,Alo Yoga,/g/11swzt6xsl,,
Q43080895,sacai,/g/113pd2lmc,,
Q664543,Deichmann SE,/m/0f05nx,,
Q130705749,Assem,,,
Q1130841,Proenza Schouler,/m/02858gq,,
Q3047175,Ed Hardy,Ed Hardy,,
Q23893788,Ivy Park,/g/11dym1gg9s,,
Q29015034,JW Anderson,/g/11g6t09w2j,,
Q136311,Sunglass Hut,/m/02m8hn,,
Q378698,Jaeger-LeCoultre,/m/01szcp,,
Q2290173,Sirri,,,
Q182399,J. Barbour and Sons,/m/09q3xp,,
Q6106802,J. Press,/m/07vvlf,,
Q104842926,Ganni,Ganni,,
Q7576421,Sperry Top-Sider,/g/11vkz0yjw3,,
Q278948,Aquascutum,/m/0279_0d,,
Q463378,American Apparel Inc.,/m/06kkcq,,
Q631894,HEAD,HEAD,,
Q600986,Escada SE,/m/0973h4,,
Q2436187,Nudie Jeans,/m/0c4g05,,
Q1132272,PVH Corp.,/m/07h9qx,,
Q4139985,Gloria Jeans,/g/122mfbg8,,
Q121878733,Vuori,Vuori,,
Q107394070,Number (N)ine,Number (N)ine,,
Q4176650,Tiger of Sweden,/g/1hm3k_vsg,,
Q1136537,Costume National,/m/0407r1d,,
Q945463,Bonia,/m/0czf76t,,
Q3439593,Cubus,,,
Q6925414,Mountain Warehouse,/g/11lj1028v9,,
Q3574548,Zadig & Voltaire,/m/064d8rl,,
Q2855977,Slazenger,/m/079mz2,,
Q18577819,Blanc & Eclare,/m/012bj88b,,
Q4167754,Herve Leger,Herve Leger,,
Q3012602,Damart,/g/1tx8sj2v,,
Q429204,C.P. Company,/g/11cmrxxm9x,,
Q7553581,Soffe,,,
Q1654538,Replay,/g/11l65t4k2_,,
Q4728473,AllSaints,/m/05p427g,,
Q3305660,Tailored Brands,/m/08jq12,,
Q3558391,Vilebrequin,Vilebrequin,,
Q3974532,Storm Management,/m/0cc5jj,,
Q104846139,Savage X Fenty,/g/11fklpcd7x,,
Q1385309,Balmain,/m/03c4zdb,,
Q588001,Geox,/m/0d1h01,,
Q1783759,Kookai,/g/1tgs03vn,,
Q125660181,Kaporal,,,
Q4682711,Adidas Originals,/m/027ztyj,,
Q25047966,Golf Wang,/g/11bzrgv90x,,
Q11293025,OWNDAYS,/g/121bwbrl,,
Q22910099,OBEY Clothing,/g/11bvsr2071,,
Q125784200,Corteiz,Corteiz,,
Q1089081,Fiorucci,/g/1230zyq0,,
Q1893576,Topshop,/g/1201dvcv5,,
Q1137991,Thomas Pink,/m/055_t5,,
Q4781133,Apple Bottoms,Apple Bottoms,,
Q7629175,"Stüssy, Inc.",/m/0dlnf8,,
Q7642242,Super Champion,,,
Q2096177,Globe International,Globe,,
Q2988422,Canada Goose Inc.,/m/0cjz6h,,
Q23672312,Herschel Supply Co.,/g/11cr_yjpsj,,
Q1634723,Elan,/m/04dkyl,,
Q116783961,Palm Angels,Palm Angels,,
Q65042966,R. M. Williams,/g/11h3qrq5_y,,
Q651470,etnies,/m/0_tthwr,,
Q50428076,Rebecca Minkoff,/g/1q5876wfz,,
Q6697865,Lucky Brand Jeans,/m/0bp7t7,,
Q3641225,Blufin,/m/0b1r2n,,
Q4035334,Bossini,/m/0f39h4,,
Q6187356,Jessica McClintock,Jessica McClintock,,
Q3504397,Avirex,/m/0dq7g4,,
Q6908680,Moosejaw,/m/03bxpv4,,
Q28056374,Tezenis,,,
Q2903774,Gottex,,,
Q1095857,C. & J. Clark International Ltd,/m/04d1sr,,
Q2234831,Schiesser,/m/0fpbfvh,,
Q7937938,Vivobarefoot,/m/0b6k39n,,
Q1072452,Chiemsee,/m/03x2_m,,
Q138318202,Syrn,/g/11ftcyz27f,,
Q3407429,Promod,Promod,,
Q7444725,Sector No Limits,/m/0805bt7,,
Q11341902,Mikimoto,/g/1213jc5s,,
Q6414100,Kinney Shoes,/m/05p8lln,,
Q1758066,Pimkie,/g/1tctwxs9,,
Q873447,Gerry Weber,/m/0c1csk2,,
Q246655,Next plc,/m/035qrr,,
Q7909026,Vakko,/g/1tg_0qfh,,
Q4876226,Beams,/m/0fm2wq,,
Q19903561,Polygon Bikes,Polygon Bikes,,
Q307894,2(x)ist,,,
Q2456630,Trussardi,/g/121n9j5n,,
Q7366633,Roots Canada,/m/03n1zl,,
Q110225120,Max Mara Fashion Group,/m/0dx64d,,
Q3299151,Matix,,,
Q113992257,Cotton On Group,/m/02rsrc_,,
Q1524904,Gina Tricot,/g/122r2gv8,,
Q7111938,Outdoor Research,,,
Q5715308,Henri Bendel,/m/09r9zy,,
Q18636419,The Elder Statesman,/m/0127y7mf,,
Q13657207,Padini,/m/0ds7lf6,,
Q10853153,United Arrows,/g/11w4glxfh9,,
Q5562449,Gilly Hicks,/g/1tk688fd,,
Q2475146,Ulla Popken,/g/1tjkdv4r,,
Q576316,Cacharel,Cacharel,,
Q787601,Chevignon,/g/120m0r4d,,
Q3473599,Sarenza,/m/0sgg5p_,,
Q4950452,Boutique La Vie en rose,/m/0h95zw7,,
Q1484081,G-Star Raw,/m/03c3ysh,,
Q3328552,Uterqüe,/g/11bwdv9bz_,,
Q2736351,Agatha Ruiz de la Prada,/m/027zd1d,,
Q670764,Brooks Sports,/m/04xx_y,,
Q86327186,GHOST-Bikes,,,
Q5171196,Corneliani,/g/11x9gsqlg,,
Q3475516,Schott NYC,/m/0262s_3,,
Q54869493,Bimba y Lola,/g/11wx68w1ds,,
Q107394262,Ami Paris,/g/11ggzm9gjv,,
Q55097814,Viyella,,,
Q111283880,Anine Bing,,,
Q3323911,Morellato Group,/m/0805bt7,,
Q1281935,Eckō Unltd.,Eckō Un,,
Q131673087,Moose Knuckles,,,
Q4904902,Big 5 Sporting Goods,/m/05hk2g,,
Q430230,Coleman Company,/m/05cmyh,,
Q641722,John Lobb Bootmaker,/m/0d1mc4,,
Q109825187,Boot Barn,Boot Barn,,
Q5119055,Cia. Hering,/m/04qmj6,,
Q22031750,Khaadi,/m/0z3tvvn,,
Q551889,Reusch,/m/0272r74,,
Q10553200,Lager 157,/g/11dyj9hm9,,
Q96657862,Yeezy Gap,Yeezy Gap,,
Q108739951,Tailored Brands,/m/08jq12,,
Q54817659,PrettyLittleThing,/g/11ggr7sf1b,,
Q3269443,Lyle & Scott,Lyle & Scott,,
Q6209926,Joe Fresh,Joe Fresh,,
Q1355658,Karl Kani,/m/04gtkxm,,
Q4970227,British Knights,British Knights,,
Q86682767,Sézane,/g/11fqqfcwrk,,
Q835487,MCM Worldwide,/m/0cc68gs,,
Q3334188,NAF NAF,NAF NAF,,
Q7994858,White House Black Market,/g/1trxk_96,,
Q43082416,Aimé Leon Dore,/g/11gbx8qs7y,,
Q19903688,Target Optical,Target Optical,,
Q119056161,F. Engel,/m/0cp8j,,
Q917561,Kitsuné,/m/027hx37,,
Q1921997,Merrell,/g/11vkz0yjw3,,
Q4349016,KappAhl,/g/11b77jln37,,
Q28857986,Lorna Jane,,,
Q5298588,Dorothy Perkins,Dorothy Perkins,,
Q7500007,Shoe Carnival,/m/094hck,,
Q48814393,SSENSE,/g/11f3w6jjy7,,
Q7899859,Urban Behavior,Urban Behavior,,
Q18390679,Robert Graham,,,
Q7488518,Shanghai Tang,/m/08rrs3,,
Q5709676,Helmut Lang,/m/03wf5d5,,
Q5392021,IC Group,,,
Q1417347,OshKosh B'Gosh,/m/06lswd,,
Q52391629,Stefano Ricci,/g/1thlxy67,,
Q115799492,Falguni Shane Peacock,/g/11sv6w68j6,,
Q140069588,Dorko,Dorko,,
Q7654224,Sweaty Betty,/g/11xcwq0fh,,
Q2672003,Celio,Celio,,
Q6108019,JD Sports,/g/11bc6vf4zn,,
Q2263500,Ellesse,/m/09gnxqw,,
Q5322052,E. Marinella,/m/07kj2_y,,
Q16544736,Courrèges,/g/12322xl6q,,
Q94776153,PME Legend,/g/11c56xp79p,,
Q5142575,Coldwater Creek,/m/027wvhz,,
Q272361,Çalık Holding,/m/04f3cx0,,
Q16850757,J Brand,J,,
Q17109937,Rack Room Shoes,/m/03m0b4j,,
Q18636520,Dolls Kill,Dolls Kill,,
Q5024439,Calvin Klein Collection,,,
Q17019662,Dr. Scholl's,/g/11jgjxlqs6,,
Q950766,Safilo,/g/122220qv,,
Q6268615,Johnston & Murphy,Johnston & Murphy,,
Q2567594,Wicked Weasel,/m/03yd_d5,,
Q16985816,C. Wonder,,,
Q2860764,Ardène,/m/0g9t35t,,
Q125995969,The Attico,,,
Q6172434,Jeanswest,/m/03d9lbp,,
Q1986392,Turnbull & Asser,/g/1tc_xj1c,,
Q877571,Blizzard Ski,/m/03mbdcg,,
Q3895,Adidas,/g/1ym_1qtkc,100.0,
Q56246099,Gymshark,/g/11f79jl42v,,
Q23823668,TK Maxx,/g/11bxfvnvqw,,
Q842174,Eddie Bauer,/m/0rq7z49,,
