qid,brand,token,news_level_adidas100,news_level_basket1000,trusted
Q319344,Abercrombie & Fitch,/m/02z2m_,4.17,109.59,1
Q958209,Springfield,/g/121v7vpj,0.0,,0
Q7740985,The Hundreds,,,,0
Q927272,NKD,NKD,0.31,,0
Q125206509,Patta,Patta,0.15,,0
Q214480,Dolce & Gabbana,/g/11bx9m5xfx,4.48,117.74,1
Q87193804,Scalpers,/g/11bxjjnb9f,0.0,,0
Q6793571,Maurices,/m/05mscfc,0.0,,1
Q2031485,Under Armour,/g/1ymzslvpb,10.8,283.84,1
Q1445358,Wrangler,/m/047nbt,0.31,8.15,1
Q1280255,ECCO,/m/06g_1m,0.15,3.94,1
Q659863,Moschino,/m/0bdfm0,0.31,8.15,1
Q7197417,Piping Hot,Piping Hot,0.0,,0
Q28224724,Golden Goose,/g/11c520979w,1.08,28.38,1
Q53472173,Off-White,/g/11c54xppt5,0.77,20.24,1
Q759210,Givenchy,/m/0hgt7_w,1.39,36.53,1
Q132531889,Alé,/m/0m09,0.46,,0
Q72982331,Francesca's,Francesca's,0.62,,0
Q11788344,CCC,/g/1ygbchl2v,0.93,24.44,1
Q926575,Fendi,/m/063y0r6,1.39,36.53,1
Q806085,Banana Republic,/m/0ndmqf4,0.46,,0
Q2282172,Yves Saint Laurent,/m/03ccxvf,14.04,368.99,1
Q127962,Levi Strauss & Co.,/m/02j46m,8.95,235.22,1
Q7679064,Talbots,/m/0c5zgx,0.0,,1
Q3146711,IKKS,/g/1218lp88,0.0,,0
Q938773,DKNY,/m/011dggwx,0.31,8.15,1
Q3943471,Scarpa,Scarpa,0.46,,0
Q11297188,Kapital,Kapital,1.85,,0
Q1684445,Superdry,/g/11byc_hvqg,0.0,,1
Q2832297,ALDO,ALDO,11.73,,0
Q827258,Bershka,/m/0h5f3x,8.64,227.07,1
Q1060537,Forever 21,/m/0svnzp6,0.0,,1
Q844805,Dillard's,Dillard's,1.08,,0
Q105476592,Tom Ford,/m/017gy6,0.0,,1
Q1130409,Vertu,/m/08f7wf,0.31,8.15,1
Q2735242,Old Navy,/m/0263lp,4.48,117.74,1
Q115804691,Volcano,,,,0
Q5618229,Gump's,Gump's,0.0,,0
Q1341990,Strauss,Strauss,2.31,,0
Q119149859,Kapital,Kapital,1.85,,0
Q5437186,Fat Face,/m/09fpzd,0.0,,0
Q42306166,Snipes,/g/11gcbs1xf8,0.77,20.24,1
Q894874,Bottega Veneta,/m/04bnxg,1.54,40.47,1
Q1548951,Moncler,/m/02pyfhb,1.39,36.53,1
Q4936481,Boden,Boden,2.47,,0
Q539507,Icebreaker,Icebreaker,1.23,,0
Q3160437,Jaeger,Jaeger,0.46,,0
Q883965,KiK,KiK,6.17,,0
Q13882231,Alexander McQueen,/g/1jkx4qt4k,0.15,3.94,1
Q25351738,Joules,/g/11b86c1vzv,0.0,,0
Q966905,Loewe,/g/11byp687x5,1.39,36.53,1
Q1126126,Dr. Martens,/m/01lsm6,0.0,,1
Q1726925,Maison Margiela,/g/1jlb4y05y,0.93,24.44,1
Q5499945,Free People,Free People,11.11,,0
Q1355904,Zegna,/m/05217d,0.0,,1
Q3650853,Marni,/m/0105z9k1,0.0,,1
Q658961,Piaget,/m/04g92x,0.0,,0
Q25351619,Aerie,/m/012z6pg4,0.31,8.15,1
Q108582148,Good American,Good American,1.85,,0
Q4112833,Caleres,/m/04jhml,0.0,,0
Q1686544,Loro Piana,/g/11c564hx53,0.0,,0
Q788231,Massimo Dutti,/m/0284p1n,0.62,16.29,1
Q1151774,Max Mara,/g/11vm73rvd,0.15,3.94,1
Q18712957,Farfetch,/m/012hpgww,1.54,40.47,1
Q16908664,Hoka,/m/0_qhc0d,0.0,,1
Q9171569,Big Star,Big Star,2.47,,0
Q2842931,American Eagle Outfitters,/m/034zyt,17.13,450.2,1
Q3866987,Mulberry,Mulberry,0.93,,0
Q6063877,Koton,/g/11r7prv1n,0.46,12.09,1
Q1422481,Fjällräven,Fjällräven,0.15,,0
Q11815580,Pepco,/m/0250hn,0.31,8.15,1
Q950042,Stone Island,Stone Island,0.46,,0
Q15263093,IRFE,/m/0zg8gwd,0.0,,0
Q6981479,Nautica,/m/04tmnn,0.31,8.15,1
Q3128675,Havaianas,/g/1tm8lqf8,0.0,,0
Q63335,Foot Locker,/m/08fhy9,7.25,190.54,1
Q29109956,Vetements,/g/11c6tx4ln_,0.0,,0
Q3497483,Emporio Armani,Emporio Armani,0.93,,0
Q1568588,Juicy Couture,Juicy Couture,0.31,,0
Q593680,Borsalino,Borsalino,0.0,,0
Q934096,Red Wing Shoes,/m/0603n6,0.31,8.15,1
Q25351941,The Row,/g/113kgn5bq,0.46,12.09,1
Q47155680,Kari,/m/012h24,65.74,,0
Q1400977,Missoni,/m/0z4417c,0.0,,0
Q3410623,Puig,/m/0k0trc6,0.93,,0
Q4766699,Ann Taylor,/m/0fgwy4,0.0,,1
Q83750,Desigual,/g/1ym_0s0cw,0.0,,1
Q866899,Lanvin,/m/0105j09n,0.0,,1
Q1371677,Etro,/m/03nxmwd,0.0,,0
Q2422884,American Vintage,American Vintage,0.15,,0
Q3197595,Kiton,/m/06b74y,0.0,,0
Q7131643,Pantaloons,/g/11bc624wm6,0.15,,0
Q6192383,Jigsaw,/m/010x6cx9,0.15,3.94,1
Q4115012,Giordano,/m/09m5gc,0.0,,0
Q3835099,Liu·Jo,/m/0gtvznm,0.0,,1
Q1629990,CoverGirl,CoverGirl,0.0,,0
Q1115170,Comme des Garçons,/g/1ym_bn64x,0.46,12.09,1
Q136502973,Volt,/m/064d8rl,0.31,8.15,1
Q2707765,Viktor & Rolf,/g/11p687spyh,0.31,,0
Q5324709,EXR,,,,0
Q3322945,Stradivarius,/m/03d4q1j,3.09,81.21,1
Q3946053,Salvatore Ferragamo,/m/03cfdwc,0.46,12.09,1
Q96791543,Yeezy,/g/11dxd2ct_b,0.62,16.29,1
Q1002252,Bugatti,/m/01frm,3.4,89.36,1
Q10461856,Crocker,Crocker,0.15,,0
Q305404,Intimissimi,/g/11f15jsgy1,0.0,,0
Q4791147,Aritzia,/m/02vs4g2,2.62,68.86,1
Q1200698,Le Bon Marché,/g/12jsyd53s,0.0,,0
Q6702957,Lululemon Athletica,/m/0bcwlr,8.64,227.07,1
Q2456205,True Religion,/m/0dlllw,0.15,,0
Q5113774,Chrome Hearts,/g/11dxpyrxf4,0.0,,0
Q821969,Berluti,Berluti,0.0,,0
Q431607,Wolford,/m/08rfrp,0.0,,0
Q1902277,Marmot,Marmot,0.15,,0
Q743497,Neiman Marcus,/g/1tpps5n7,0.0,,0
Q4828498,Avia,Avia,2.62,,0
Q604667,Emilio Pucci,/m/04gj4b,0.0,,0
Q7827120,Torrid,Torrid,0.0,,0
Q1027874,Oniverse,/g/120yr454,0.31,8.15,1
Q1360940,Orbea,/m/080jbw,0.15,3.94,1
Q5370765,J.Crew,/g/11bypkrpcn,0.46,12.09,1
Q4773903,Anthropologie,Anthropologie,0.62,,0
Q28042940,Orchestra,/g/11c5_6x9_j,0.15,3.94,1
Q7432952,Schuh,,,,0
Q4038967,Fred Perry,Fred Perry,0.15,,0
Q8041451,X-Large,/m/0cg1tx,0.0,,1
Q794565,Aéropostale,,,,0
Q1660552,"Patagonia, Inc.",/m/0g152j,0.93,24.44,1
Q3192653,Kangol,Kangol,0.0,,0
Q6166759,Jay Jays,/g/1tdvdr5s,0.0,,0
Q125230974,James Perse,James Per,4.78,,0
Q147505,Zappos,/m/02dfb9,0.31,8.15,1
Q1066858,Tiffany & Co.,Tiffany &,0.0,,0
Q43452713,On AG,/g/11dxprv1lg,1.85,48.62,1
Q5206207,Designer Brands,/g/11bwd8wfq5,0.62,16.29,1
Q2956351,Chantelle,Chantelle,0.15,,0
Q48770898,Buck Mason,/g/11hbc4gznv,0.0,,0
Q55748823,garment factory,,,,0
Q5506939,Fuchsia,,,,0
Q1439858,Nina Ricci,/m/0105_wgd,0.0,,1
Q1257477,Hollister Co.,/m/02zkdm,0.77,20.24,1
Q4902942,Biba,Biba,0.0,,0
Q3205965,LC Waikiki,/g/122dsj3z,3.4,89.36,1
Q18385610,Stitch Fix,/m/010ql3n8,0.0,,1
Q2670328,River Island,/m/04h0mt,0.31,8.15,1
Q28401216,Sunski,/m/08t_4_,0.31,8.15,1
Q25387414,Brandy Melville,/g/11btmcj6n4,0.0,,0
Q6915425,Moscot,Moscot,0.0,,0
Q817139,Benetton Group,/m/03p1lxx,0.15,3.94,1
Q482539,"Fila, Inc.",/m/09bsy1,2.62,68.86,1
Q104890420,Just Over the Top,/g/11ls35gkd1,0.0,,0
Q2551058,DSQUARED2,/g/11vp4ql7c,0.0,,1
Q948531,Celine,/m/0463vt1,2.78,73.06,1
Q47545942,Quooker,/g/11gfjc0fp0,0.0,,1
Q11993725,Oleana,Oleana,0.0,,0
Q6131944,L.L.Bean,L.L.Bean,0.0,,0
Q6316068,Just Jeans,,,,0
Q688082,Bata Limited,/m/01n7rt,0.31,8.15,1
Q3327046,OYSHO,/g/11xww9t07,0.15,,0
Q1361595,Erreà,/m/0kqk4h,0.0,,0
Q634881,Tommy Hilfiger B.V.,/m/0b6p4fq,1.7,44.68,1
Q1641437,Ralph Lauren Corporation,/m/04lg33,12.81,336.67,1
Q546542,A.P.C.,/m/0bb27r6,0.31,8.15,1
Q3196299,Kiabi,/g/1tj49sm5,0.0,,0
Q4850707,Baleno,/g/11cl_58h48,4.94,129.83,1
Q1422386,K-Swiss,K-Swiss,0.0,,0
Q137023,Primark,/m/06cm4q,16.98,446.26,1
Q138543842,Matières Fécales,Matières Fécales,0.0,,0
Q420765,Akris,/m/04zzzt9,0.0,,0
Q3073195,Furla,/m/0tkhp7n,0.0,,0
Q55205917,Best Company,,,,0
Q11236730,Niko and...,/g/11b6s66b8q,0.0,,0
Q6756978,Marchesa,/m/03qk90s,0.0,,0
Q3645820,Bruno Magli,/m/07hs0h,0.0,,0
Q5000795,Burton,/m/0781kl,0.15,3.94,1
Q3212802,La Senza,/m/02z23wh,0.0,,0
Q3476844,Sebago,/g/11vkz0yjw3,0.0,,1
Q2470307,Guess,/m/03p3kvm,4.01,105.39,1
Q532310,Hummel International,/m/0ff3jk,0.15,3.94,1
Q12061509,Matalan,/m/06hp5h,0.15,3.94,1
Q8075252,Zumiez,/m/0fb_w1,0.0,,1
Q184399,Zeeman,Zeeman,0.0,,0
Q571206,Tom Tailor,/m/0d3_wm,0.0,,0
Q6523209,LensCrafters,/m/02m87m,0.15,3.94,1
Q136503,Mango,/m/02r7cz2,11.57,304.08,1
Q21410966,Everlane,Everlane,0.46,,0
Q1786717,Lindex,/m/0262jz,0.0,,1
Q21463374,Nordstrom Rack,Nordstrom Rack,2.01,,0
Q2003244,Thor Steinar,/g/11bykzpm0s,0.0,,0
Q1427623,Haglöfs,/m/0c2y57,0.15,,0
Q1156731,Mizuno Corporation,/m/060wbl,3.09,81.21,1
Q457822,Fielmann,/m/05b1pp0,2.16,56.77,1
Q7121857,PacSun,/m/057rj3,0.0,,1
Q2820820,K-way,K-way,0.0,,0
Q7282768,Rag & Bone,Rag & Bone,0.0,,0
Q1373540,Frederick's of Hollywood,/m/03qtfy,0.0,,0
Q241295,Miss Sixty,Miss Sixty,0.0,,0
Q1784995,Alfred Dunhill,/m/0dck4b,0.0,,1
Q1659229,Supreme,Supreme,407.83,,0
Q158285,Diesel,/m/0vmzfqz,1.74,45.73,1
Q849724,Q849724,/m/06b6k7,0.0,,0
Q2979949,Club Monaco,Club Mona,0.0,,0
Q2782017,Napapijri,/m/0125_39h,0.0,,0
Q131445771,Rapha,Rapha,0.0,,0
Q911217,Breuninger,/m/03cgr86,0.31,8.15,1
Q5213855,Jimmy Choo Ltd,/m/0czj0s,0.0,,1
Q172227,Playlife,/m/04j9dj,0.0,,0
Q5512676,G2000,/m/03wmyk,0.0,,0
Q5915543,House of Worth,/m/049xdk,0.0,,0
Q25110413,BALR.,BALR.,0.0,,0
Q3274777,Evisu,/m/060ntk,0.15,,0
Q142691,Montblanc International GmbH,/m/04y72l,0.15,3.94,1
Q1439645,Macron,/m/06zkyq0,0.93,,0
Q3401000,Nalini,,,,0
Q7932495,Vineyard Vines,/m/0g0lmv,0.0,,1
Q115310947,Terminal X,Terminal X,2.01,,0
Q5349364,Eileen Fisher,/g/11fll4ww7k,0.0,,0
Q924963,Charles Tyrwhitt,/g/11c3mr6qdx,0.0,,0
Q881017,Bogner,Bogner,0.0,,0
Q16992933,Fabletics,Fabletics,0.15,,0
Q5166857,Coogi,Coogi,0.0,,0
Q3905226,PINKO,/g/121v7x87,0.0,,1
Q3357081,Dressmann,/g/1hc223r6c,0.0,,0
Q7193265,Rocawear,Rocawear,0.0,,0
Q1539185,The Timberland Company,/m/05kv16,0.46,12.09,1
Q1028975,Jacques Fath,/m/027c1qr,0.0,,0
Q6077665,Jack & Jones,Jack & Jones,0.0,,0
Q7156755,Payless ShoeSource,/m/06sm6h,0.15,3.94,1
Q3073822,Superga,Superga,0.15,,0
Q2749082,Lord & Taylor,/m/044jl0,0.0,,0
Q5203233,D-A-S-H,D-A-S-H,0.0,,0
Q1056200,Cerruti 1881,/m/08x63q,0.15,,0
Q2719846,Billionaire Boys Club,/m/0d3q6v,0.0,,0
Q16648226,Women'secret,/g/12lqjr7mq,0.0,,1
Q123700068,Alo Yoga,/g/11swzt6xsl,2.78,73.06,1
Q43080895,sacai,/g/113pd2lmc,0.0,,0
Q664543,Deichmann SE,/m/0f05nx,1.08,28.38,1
Q130705749,Assem,,,,0
Q1130841,Proenza Schouler,/m/02858gq,0.0,,0
Q3047175,Ed Hardy,Ed Hardy,0.0,,0
Q23893788,Ivy Park,/g/11dym1gg9s,0.0,,0
Q29015034,JW Anderson,/g/11g6t09w2j,0.0,,1
Q136311,Sunglass Hut,/m/02m8hn,0.31,8.15,1
Q378698,Jaeger-LeCoultre,/m/01szcp,0.15,3.94,1
Q2290173,Sirri,,,,0
Q182399,J. Barbour and Sons,/m/09q3xp,0.0,,1
Q6106802,J. Press,/m/07vvlf,0.0,,0
Q104842926,Ganni,Ganni,0.15,,0
Q7576421,Sperry Top-Sider,/g/11vkz0yjw3,0.0,,1
Q278948,Aquascutum,/m/0279_0d,0.22,,0
Q463378,American Apparel Inc.,/m/06kkcq,0.0,,0
Q631894,HEAD,HEAD,248.88,,0
Q600986,Escada SE,/m/0973h4,0.22,,0
Q2436187,Nudie Jeans,/m/0c4g05,0.0,,0
Q1132272,PVH Corp.,/m/07h9qx,0.31,,0
Q4139985,Gloria Jeans,/g/122mfbg8,0.0,,0
Q121878733,Vuori,Vuori,0.46,,0
Q107394070,Number (N)ine,Number (N)ine,0.0,,0
Q4176650,Tiger of Sweden,/g/1hm3k_vsg,0.0,,0
Q1136537,Costume National,/m/0407r1d,0.15,,0
Q945463,Bonia,/m/0czf76t,0.0,,0
Q3439593,Cubus,,,,0
Q6925414,Mountain Warehouse,/g/11lj1028v9,0.0,,0
Q3574548,Zadig & Voltaire,/m/064d8rl,0.31,8.15,1
Q2855977,Slazenger,/m/079mz2,0.0,,0
Q18577819,Blanc & Eclare,/m/012bj88b,0.0,,0
Q4167754,Herve Leger,Herve Leger,0.0,,0
Q3012602,Damart,/g/1tx8sj2v,0.0,,0
Q429204,C.P. Company,/g/11cmrxxm9x,0.15,,0
Q7553581,Soffe,,,,0
Q1654538,Replay,/g/11l65t4k2_,0.0,,0
Q4728473,AllSaints,/m/05p427g,0.15,3.94,1
Q3305660,Tailored Brands,/m/08jq12,0.0,,1
Q3558391,Vilebrequin,Vilebrequin,0.0,,0
Q3974532,Storm Management,/m/0cc5jj,0.0,,0
Q104846139,Savage X Fenty,/g/11fklpcd7x,0.0,,0
Q1385309,Balmain,/m/03c4zdb,0.0,,1
Q588001,Geox,/m/0d1h01,0.31,8.15,1
Q1783759,Kookai,/g/1tgs03vn,0.15,,0
Q125660181,Kaporal,,,,0
Q4682711,Adidas Originals,/m/027ztyj,4.48,,0
Q25047966,Golf Wang,/g/11bzrgv90x,0.15,,0
Q11293025,OWNDAYS,/g/121bwbrl,0.0,,1
Q22910099,OBEY Clothing,/g/11bvsr2071,0.0,,0
Q125784200,Corteiz,Corteiz,0.0,,0
Q1089081,Fiorucci,/g/1230zyq0,0.0,,0
Q1893576,Topshop,/g/1201dvcv5,0.0,,1
Q1137991,Thomas Pink,/m/055_t5,0.0,,0
Q4781133,Apple Bottoms,Apple Bottoms,0.0,,0
Q7629175,"Stüssy, Inc.",/m/0dlnf8,1.23,32.33,1
Q7642242,Super Champion,,,,0
Q2096177,Globe International,Globe,32.87,,0
Q2988422,Canada Goose Inc.,/m/0cjz6h,0.15,3.94,1
Q23672312,Herschel Supply Co.,/g/11cr_yjpsj,0.0,,0
Q1634723,Elan,/m/04dkyl,8.64,,0
Q116783961,Palm Angels,Palm Angels,0.0,,0
Q65042966,R. M. Williams,/g/11h3qrq5_y,0.15,,0
Q651470,etnies,/m/0_tthwr,0.0,,0
Q50428076,Rebecca Minkoff,/g/1q5876wfz,0.0,,0
Q6697865,Lucky Brand Jeans,/m/0bp7t7,0.0,,0
Q3641225,Blufin,/m/0b1r2n,0.0,,0
Q4035334,Bossini,/m/0f39h4,0.0,,0
Q6187356,Jessica McClintock,Jessica McClintock,0.0,,0
Q3504397,Avirex,/m/0dq7g4,0.0,,0
Q6908680,Moosejaw,/m/03bxpv4,0.0,,0
Q28056374,Tezenis,,,,0
Q2903774,Gottex,,,,0
Q1095857,C. & J. Clark International Ltd,/m/04d1sr,0.31,8.15,1
Q2234831,Schiesser,/m/0fpbfvh,0.0,,0
Q7937938,Vivobarefoot,/m/0b6k39n,0.0,,1
Q1072452,Chiemsee,/m/03x2_m,0.93,24.44,1
Q138318202,Syrn,/g/11ftcyz27f,0.0,,0
Q3407429,Promod,Promod,0.0,,0
Q7444725,Sector No Limits,/m/0805bt7,0.0,,0
Q11341902,Mikimoto,/g/1213jc5s,0.0,,0
Q6414100,Kinney Shoes,/m/05p8lln,0.0,,0
Q1758066,Pimkie,/g/1tctwxs9,0.0,,0
Q873447,Gerry Weber,/m/0c1csk2,0.15,,0
Q246655,Next plc,/m/035qrr,2.78,73.06,1
Q7909026,Vakko,/g/1tg_0qfh,0.0,,0
Q4876226,Beams,/m/0fm2wq,0.15,3.94,1
Q19903561,Polygon Bikes,Polygon Bikes,0.0,,0
Q307894,2(x)ist,,,,0
Q2456630,Trussardi,/g/121n9j5n,0.0,,0
Q7366633,Roots Canada,/m/03n1zl,0.15,3.94,1
Q110225120,Max Mara Fashion Group,/m/0dx64d,0.15,3.94,1
Q3299151,Matix,,,,0
Q113992257,Cotton On Group,/m/02rsrc_,0.0,,1
Q1524904,Gina Tricot,/g/122r2gv8,0.31,8.15,1
Q7111938,Outdoor Research,,,,0
Q5715308,Henri Bendel,/m/09r9zy,0.0,,0
Q18636419,The Elder Statesman,/m/0127y7mf,0.15,,0
Q13657207,Padini,/m/0ds7lf6,0.15,,0
Q10853153,United Arrows,/g/11w4glxfh9,0.0,,0
Q5562449,Gilly Hicks,/g/1tk688fd,0.0,,0
Q2475146,Ulla Popken,/g/1tjkdv4r,0.0,,0
Q576316,Cacharel,Cacharel,0.15,,0
Q787601,Chevignon,/g/120m0r4d,0.0,,0
Q3473599,Sarenza,/m/0sgg5p_,0.15,3.94,1
Q4950452,Boutique La Vie en rose,/m/0h95zw7,0.0,,1
Q1484081,G-Star Raw,/m/03c3ysh,0.0,,1
Q3328552,Uterqüe,/g/11bwdv9bz_,0.0,,0
Q2736351,Agatha Ruiz de la Prada,/m/027zd1d,0.0,,0
Q670764,Brooks Sports,/m/04xx_y,0.0,,1
Q86327186,GHOST-Bikes,,,,0
Q5171196,Corneliani,/g/11x9gsqlg,0.0,,0
Q3475516,Schott NYC,/m/0262s_3,0.0,,0
Q54869493,Bimba y Lola,/g/11wx68w1ds,0.0,,0
Q107394262,Ami Paris,/g/11ggzm9gjv,0.0,,0
Q55097814,Viyella,,,,0
Q111283880,Anine Bing,,,,0
Q3323911,Morellato Group,/m/0805bt7,0.0,,0
Q1281935,Eckō Unltd.,Eckō Un,0.0,,0
Q131673087,Moose Knuckles,,,,0
Q4904902,Big 5 Sporting Goods,/m/05hk2g,0.0,,1
Q430230,Coleman Company,/m/05cmyh,0.46,12.09,1
Q641722,John Lobb Bootmaker,/m/0d1mc4,0.0,,0
Q109825187,Boot Barn,Boot Barn,0.31,,0
Q5119055,Cia. Hering,/m/04qmj6,0.0,,1
Q22031750,Khaadi,/m/0z3tvvn,0.15,3.94,1
Q551889,Reusch,/m/0272r74,0.0,,0
Q10553200,Lager 157,/g/11dyj9hm9,0.15,3.94,1
Q96657862,Yeezy Gap,Yeezy Gap,0.0,,0
Q108739951,Tailored Brands,/m/08jq12,0.0,,1
Q54817659,PrettyLittleThing,/g/11ggr7sf1b,0.31,8.15,1
Q3269443,Lyle & Scott,Lyle & Scott,0.0,,0
Q6209926,Joe Fresh,Joe Fresh,0.15,,0
Q1355658,Karl Kani,/m/04gtkxm,0.0,,0
Q4970227,British Knights,British Knights,0.0,,0
Q86682767,Sézane,/g/11fqqfcwrk,0.0,,1
Q835487,MCM Worldwide,/m/0cc68gs,0.0,,0
Q3334188,NAF NAF,NAF NAF,0.0,,0
Q7994858,White House Black Market,/g/1trxk_96,0.0,,0
Q43082416,Aimé Leon Dore,/g/11gbx8qs7y,0.0,,0
Q19903688,Target Optical,Target Optical,0.93,,0
Q119056161,F. Engel,/m/0cp8j,0.0,,1
Q917561,Kitsuné,/m/027hx37,0.0,,0
Q1921997,Merrell,/g/11vkz0yjw3,0.0,,1
Q4349016,KappAhl,/g/11b77jln37,0.0,,1
Q28857986,Lorna Jane,,,,0
Q5298588,Dorothy Perkins,Dorothy Perkins,0.0,,0
Q7500007,Shoe Carnival,/m/094hck,0.0,,1
Q48814393,SSENSE,/g/11f3w6jjy7,0.15,3.94,1
Q7899859,Urban Behavior,Urban Behavior,0.0,,0
Q18390679,Robert Graham,,,,0
Q7488518,Shanghai Tang,/m/08rrs3,0.0,,0
Q5709676,Helmut Lang,/m/03wf5d5,0.0,,0
Q5392021,IC Group,,,,0
Q1417347,OshKosh B'Gosh,/m/06lswd,0.0,,0
Q52391629,Stefano Ricci,/g/1thlxy67,0.0,,0
Q115799492,Falguni Shane Peacock,/g/11sv6w68j6,0.0,,0
Q140069588,Dorko,Dorko,0.0,,0
Q7654224,Sweaty Betty,/g/11xcwq0fh,0.0,,0
Q2672003,Celio,Celio,0.62,,0
Q6108019,JD Sports,/g/11bc6vf4zn,13.43,352.96,1
Q2263500,Ellesse,/m/09gnxqw,0.0,,0
Q5322052,E. Marinella,/m/07kj2_y,0.0,,0
Q16544736,Courrèges,/g/12322xl6q,0.0,,0
Q94776153,PME Legend,/g/11c56xp79p,0.0,,0
Q5142575,Coldwater Creek,/m/027wvhz,0.0,,0
Q272361,Çalık Holding,/m/04f3cx0,0.0,,0
Q16850757,J Brand,J,232.96,,0
Q17109937,Rack Room Shoes,/m/03m0b4j,0.0,,1
Q18636520,Dolls Kill,Dolls Kill,0.0,,0
Q5024439,Calvin Klein Collection,,,,0
