qid,brand,token,category,pv_median,cur_level
Q8041451,X-Large,/m/0cg1tx,crushed,1030,0.05
Q4950452,Boutique La Vie en rose,/m/0h95zw7,crushed,1008,0.19
Q7432952,Schuh,,missing,1003,
Q2860764,Ardène,/m/0g9t35t,crushed,1001,0.05
Q22032349,Wood Wood,Wood Wood,suspect,930,94.92
Q17109937,Rack Room Shoes,/m/03m0b4j,crushed,916,0.12
Q125660181,Kaporal,,missing,904,
Q55097814,Viyella,,missing,903,
Q110225120,Max Mara Fashion Group,/m/0dx64d,crushed,875,0.32
Q28857986,Lorna Jane,,missing,873,
Q18390679,Robert Graham,,missing,859,
Q7740985,The Hundreds,,missing,856,
Q86327186,GHOST-Bikes,,missing,828,
Q1072452,Chiemsee,/m/03x2_m,crushed,803,0.31
Q7111938,Outdoor Research,,missing,797,
Q107481263,Bode,,missing,753,
Q16648226,Women'secret,/g/12lqjr7mq,crushed,698,0.32
Q794565,Aéropostale,,missing,686,
Q2903774,Gottex,,missing,503,
Q3157513,Jacob,,missing,501,
Q19903688,Target Optical,Target Optical,crushed,467,0.21
Q55205917,Best Company,,missing,465,
Q125995969,The Attico,,missing,465,
Q5024439,Calvin Klein Collection,,missing,437,
Q307894,2(x)ist,,missing,429,
Q7553581,Soffe,,missing,390,
Q109906064,Sleeper,,missing,386,
Q5392021,IC Group,,missing,381,
Q1719431,Schmid,,missing,372,
Q16985816,C. Wonder,,missing,333,
Q115804691,Volcano,,missing,216,
Q28056374,Tezenis,,missing,209,
Q7456144,Sessions,,missing,187,
Q138486466,Shukr,/m/0f7z4,suspect,177,47.15
Q4349016,KappAhl,/g/11b77jln37,crushed,141,0.02
Q96791543,Yeezy,/g/11dxd2ct_b,crushed,137,0.49
Q20987378,Barefoot,,missing,128,
Q5324709,EXR,,missing,93,
Q3299151,Matix,,missing,88,
Q7642242,Super Champion,,missing,81,
Q2872152,Australian,Australian,suspect,74,44.99
Q5506939,Fuchsia,,missing,53,
Q125191429,Ladies,/m/02zsn,suspect,0,105.08
Q125705303,Fix,Fix,suspect,0,85.95
Q64852777,Beer,/m/01599,suspect,0,79.63
Q12340378,VILA,VILA,suspect,0,26.99
Q10443115,Carlings,,missing,0,
Q5175717,Cotton On,Cotton On,suspect,0,6.58
Q132531889,Alé,/m/0m09,suspect,0,3.98
Q47155680,Kari,/m/012h24,suspect,0,116.71
Q55748823,garment factory,,missing,0,
Q6316068,Just Jeans,,missing,0,
Q3401000,Nalini,,missing,0,
Q130705749,Assem,,missing,0,
Q2290173,Sirri,,missing,0,
Q3439593,Cubus,,missing,0,
Q111283880,Anine Bing,,missing,0,
Q131673087,Moose Knuckles,,missing,0,
Q119056161,F. Engel,/m/0cp8j,crushed,0,0.21
